"REF_DATE","GEO","DGUID","Vehicle type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-04","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170096","6.1.1.1.1","44997","","","","0"
"2021-05","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170096","6.1.1.1.1","41589","","","","0"
"2021-06","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170096","6.1.1.1.1","41080","","","","0"
"2021-07","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170096","6.1.1.1.1","38067","","","","0"
"2021-08","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170096","6.1.1.1.1","36082","","","","0"
"2021-09","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170096","6.1.1.1.1","35391","","","","0"
"2021-10","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170096","6.1.1.1.1","35980","","","","0"
"2021-11","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170096","6.1.1.1.1","28941","","","","0"
"2021-12","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Units","Unadjusted","Units","300","units","0","v42170096","6.1.1.1.1","22946","","","","0"
"2021-01","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","687456","","","","0"
"2021-02","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","1221162","","","","0"
"2021-03","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","2002588","","","","0"
"2021-04","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","1984593","","","","0"
"2021-05","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","1773610","","","","0"
"2021-06","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","1797582","","","","0"
"2021-07","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","1664583","","","","0"
"2021-08","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","1585458","","","","0"
"2021-09","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","1549495","","","","0"
"2021-10","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","1516936","","","","0"
"2021-11","Quebec","2016A000224","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42170098","6.1.1.2.1","1389819","","","","0"
